target,prevalence,auroc,balanced_accuracy,sensitivity,specificity,brier,depth,leaves
support_expedited_review,0.0551,0.7017,0.6979,0.4156,0.9802,0.1539,5,15
support_nonoperative,0.3998,0.7262,0.6626,0.5491,0.7761,0.2036,5,26
support_injection,0.3983,0.726,0.7084,0.5006,0.9161,0.1904,5,23
support_decompression_consult,0.8053,0.8593,0.8107,0.7089,0.9125,0.1506,5,28
independent_fusion_rationale,0.0816,0.8805,0.8442,0.7836,0.9048,0.1098,5,25
optimization_needed,0.2001,0.805,0.7821,0.7881,0.776,0.1637,5,20
perioperative_medical_concern,0.1027,0.7411,0.7179,0.7138,0.7219,0.1957,5,23
fusion_healing_concern,0.1534,0.8147,0.7841,0.8358,0.7325,0.166,5,21
infection_concern,0.1029,0.777,0.7434,0.837,0.6498,0.1879,5,23
nonhome_discharge_concern,0.1523,0.766,0.7186,0.8601,0.5772,0.1958,5,27
persistent_opioid_concern,0.1679,0.805,0.7498,0.6788,0.8209,0.1551,5,26
