variable,role,type,description,allowed_or_range
age,input_feature,int64,Synthetic variable; see generator and model card.,
sex,input_feature,object,Synthetic variable; see generator and model card.,
bmi,input_feature,float64,Synthetic variable; see generator and model card.,
smoking_status,input_feature,object,Synthetic variable; see generator and model card.,
pack_years,input_feature,float64,Synthetic variable; see generator and model card.,
vaping_nicotine,input_feature,int64,Synthetic variable; see generator and model card.,
hypertension,input_feature,int64,Synthetic variable; see generator and model card.,
diabetes,input_feature,int64,Synthetic variable; see generator and model card.,
a1c,input_feature,float64,Synthetic variable; see generator and model card.,
insulin_use,input_feature,int64,Synthetic variable; see generator and model card.,
coronary_disease,input_feature,int64,Synthetic variable; see generator and model card.,
heart_failure,input_feature,int64,Synthetic variable; see generator and model card.,
copd,input_feature,int64,Synthetic variable; see generator and model card.,
sleep_apnea,input_feature,int64,Synthetic variable; see generator and model card.,
ckd_stage,input_feature,int64,Synthetic variable; see generator and model card.,
prior_dvt_pe,input_feature,int64,Synthetic variable; see generator and model card.,
anticoagulation,input_feature,int64,Synthetic variable; see generator and model card.,
clinical_frailty_scale,input_feature,int64,Synthetic variable; see generator and model card.,
home_support,input_feature,object,Synthetic variable; see generator and model card.,
walking_limit_meters,input_feature,int64,Synthetic variable; see generator and model card.,
albumin,input_feature,float64,Synthetic variable; see generator and model card.,
hemoglobin,input_feature,float64,Synthetic variable; see generator and model card.,
recent_weight_loss,input_feature,int64,Synthetic variable; see generator and model card.,
bone_health,input_feature,object,Synthetic variable; see generator and model card.,
prior_fragility_fracture,input_feature,int64,Synthetic variable; see generator and model card.,
dex_lowest_tscore,input_feature,float64,Synthetic variable; see generator and model card.,
phq9,input_feature,int64,Synthetic variable; see generator and model card.,
gad7,input_feature,int64,Synthetic variable; see generator and model card.,
opioid_mme_day,input_feature,float64,Synthetic variable; see generator and model card.,
opioid_duration_months,input_feature,int64,Synthetic variable; see generator and model card.,
benzodiazepine_use,input_feature,int64,Synthetic variable; see generator and model card.,
clinical_syndrome,input_feature,object,Synthetic variable; see generator and model card.,
pathology,input_feature,object,Synthetic variable; see generator and model card.,
symptom_duration_weeks,input_feature,int64,Synthetic variable; see generator and model card.,
objective_motor_deficit,input_feature,int64,Synthetic variable; see generator and model card.,
progressive_weakness,input_feature,int64,Synthetic variable; see generator and model card.,
hip_exam_abnormal,input_feature,int64,Synthetic variable; see generator and model card.,
vascular_exam_abnormal,input_feature,int64,Synthetic variable; see generator and model card.,
dynamic_instability,input_feature,int64,Synthetic variable; see generator and model card.,
deformity,input_feature,int64,Synthetic variable; see generator and model card.,
foraminal_collapse,input_feature,int64,Synthetic variable; see generator and model card.,
prior_surgery,input_feature,int64,Synthetic variable; see generator and model card.,
prior_surgery_type,input_feature,object,Synthetic variable; see generator and model card.,
prior_infection,input_feature,int64,Synthetic variable; see generator and model card.,
prior_pseudarthrosis,input_feature,int64,Synthetic variable; see generator and model card.,
prior_dural_tear,input_feature,int64,Synthetic variable; see generator and model card.,
injection_response,input_feature,object,Synthetic variable; see generator and model card.,
infection_red_flag,input_feature,int64,Synthetic variable; see generator and model card.,
cancer_red_flag,input_feature,int64,Synthetic variable; see generator and model card.,
fracture_red_flag,input_feature,int64,Synthetic variable; see generator and model card.,
cauda_equina_flag,input_feature,int64,Synthetic variable; see generator and model card.,
planned_procedure,input_feature,object,Synthetic variable; see generator and model card.,
planned_levels,input_feature,int64,Synthetic variable; see generator and model card.,
planned_revision,input_feature,int64,Synthetic variable; see generator and model card.,
planned_setting,input_feature,object,Synthetic variable; see generator and model card.,
support_expedited_review,synthetic_label,int64,Synthetic variable; see generator and model card.,
support_nonoperative,synthetic_label,int64,Synthetic variable; see generator and model card.,
support_injection,synthetic_label,int64,Synthetic variable; see generator and model card.,
support_decompression_consult,synthetic_label,int64,Synthetic variable; see generator and model card.,
independent_fusion_rationale,synthetic_label,int64,Synthetic variable; see generator and model card.,
optimization_needed,synthetic_label,int64,Synthetic variable; see generator and model card.,
perioperative_medical_concern,synthetic_label,int64,Synthetic variable; see generator and model card.,
fusion_healing_concern,synthetic_label,int64,Synthetic variable; see generator and model card.,
infection_concern,synthetic_label,int64,Synthetic variable; see generator and model card.,
nonhome_discharge_concern,synthetic_label,int64,Synthetic variable; see generator and model card.,
persistent_opioid_concern,synthetic_label,int64,Synthetic variable; see generator and model card.,
